ekev,nekev,ehz,Fhz,vLhz
2.8407645836840887,0.017946024402973174,6.868938202643968e+17,3.3779990904780924e-28,2.7762597193489822e+44
3.0050521744773375,0.01608233877667042,7.266183829790093e+17,3.2022648810883393e-28,2.7840343412347135e+44
3.2697429904739566,0.014412195967188549,7.906203375348596e+17,3.122481008472075e-28,2.9537840551258746e+44
3.458839334994499,0.01291549665014884,8.36343630211685e+17,2.9600396588266254e-28,2.962055815149136e+44
3.6074510879448844,0.011158839925077492,8.722777921998264e+17,2.667322499903132e-28,2.7838209481537313e+44
4.210801756131172,0.008483428982440725,1.0181673346877454e+18,2.36696727418049e-28,2.883516013203135e+44
4.391845008588267,0.007464760408417128,1.0619433983670774e+18,2.172295525258957e-28,2.760140766263194e+44
4.613074008231329,0.006568410965708362,1.1154363324844906e+18,2.0077367524665136e-28,2.679553976910188e+44
4.812085887049485,0.0063326764795741865,1.1635571906874314e+18,2.0191877422522577e-28,2.8110941411805098e+44
5.1622152972487365,0.005372281118324031,1.248218105407364e+18,1.8375995380985496e-28,2.7444309299961117e+44
5.2722432538372335,0.005179474679231218,1.2748227469433213e+18,1.8094108220656788e-28,2.7599292045976866e+44
5.422249912295303,0.004727191266403975,1.3110941955825933e+18,1.6983951244461283e-28,2.6643028148098394e+44
5.776241757498682,0.0041595621630718515,1.3966890429313495e+18,1.592021799727334e-28,2.660478115442013e+44
6.11080712855415,0.003937658923564387,1.4775865897299763e+18,1.5943831694980673e-28,2.8187502426053925e+44
6.374254172687104,0.0037275937203149457,1.5412878015872317e+18,1.574396000339317e-28,2.9034120402525408e+44
6.651477046129881,0.004475006297250453,1.6083199941516823e+18,1.972276394914378e-28,3.795344411255933e+44
6.936098834757774,0.0034648348557303698,1.6771412364482035e+18,1.5924061347363083e-28,3.1954677124309075e+44
7.284062379340037,0.0026826957952797302,1.7612784471919683e+18,1.294795300234738e-28,2.7286013488433185e+44
7.231888321149815,0.002448436746822227,1.7486628160499812e+18,1.173266388376329e-28,2.4547861193714553e+44
7.869107155539141,0.002234633726916595,1.9027416446907092e+18,1.1651660928948e-28,2.6526418427112265e+44
7.814928163888068,0.002448436746822227,1.889641222794779e+18,1.2678559368029082e-28,2.8665545954866888e+44
8.153895090554615,0.0027321713724466714,1.971603061005009e+18,1.4761452228392538e-28,3.4822466046046295e+44
8.443319744273904,0.002154434690031887,2.041585630913748e+18,1.205320654843386e-28,2.944293862990194e+44
8.50042850930078,0.0017621048479375058,2.0553944688601226e+18,9.924956104164896e-29,2.440814263849666e+44
8.681850302029313,0.0017301957388458963,2.0992620631698573e+18,9.953219018050338e-29,2.5000067005148577e+44
9.05436629650884,0.0014412195967188548,2.1893360298854638e+18,8.646577693404699e-29,2.2649969781306077e+44
9.119688521224077,0.0015791111439617418,2.2051308735485135e+18,9.542204798032529e-29,2.5176424784557837e+44
9.64548103380276,0.0012681616133864966,2.3322669374469187e+18,8.105028083747888e-29,2.2617454961810937e+44
10.276911312763932,0.0012451970847350332,2.484946099612398e+18,8.479236201873782e-29,2.521068585659061e+44
10.201587933286266,0.0010184424850756457,2.4667329874869504e+18,6.884308357318705e-29,2.031858269500241e+44
10.866991152019637,0.000863988449483969,2.627626769941547e+18,6.221187337844788e-29,1.9559056967796903e+44
11.415029172543143,0.000788543029093589,2.760141773729483e+18,5.964285881480599e-29,1.969703227216189e+44
12.160600038049367,0.0007066532313287162,2.9404200069300813e+18,5.693998958978967e-29,2.0032617878395893e+44
12.951244651012608,0.0005274997063702619,3.1315970237758326e+18,4.52678386242778e-29,1.6961590936948577e+44
14.089650557577185,0.0004236274826185525,3.40686234729574e+18,3.954944364994991e-29,1.6121517516790162e+44
14.596705598762671,0.0004557536534100911,3.529467710768883e+18,4.407994429148095e-29,1.861492130488589e+44
15.221309792204467,0.00035287350208467545,3.6804963327992223e+18,3.5589927400432285e-29,1.5672722565781909e+44
17.026112616625863,0.0002194167819649251,4.116895714152763e+18,2.4753771195345747e-29,1.2193326211289157e+44
19.58678106145556,0.00012451970847350343,4.736062589367216e+18,1.6160589305484935e-29,9.15768247578056e+43
23.17625802525713,6.938567878737181e-05,5.603994257685598e+18,1.0655386024411053e-29,7.144598434140497e+43
27.412806383010167,2.9935772947204902e-05,6.628387092947535e+18,5.4375091939841656e-30,4.312397858704097e+43
